code;FR;IT;DE
txtSaisirEmail2;Votre e-mail accompagné du mot de passe de votre choix vous permettra ultérieurement d'éviter de saisir vos coordonnées de facturation.<br>Vous pourrez également modifier vos coordonnées y compris votre e-mail et votre mot de passe;La vostra e-mail accompagnato dalla password di vostra scelta vi permetterà ulteriormente di evitare di dare le vostre coordinate di fatturazione. Potrete anche modificare le vostre coordinate comprese la vostra e-mail e la vostra password;Ihr E-Mail mit Ihrem Passwort Ihrer Wahl wird es Ihnen zukünftig ermöglichen, die Angaben zur Rechnungsstellung nicht erneut erfassen zu müssen. <br>Sie können auch Ihre Angaben einschliesslich ihres E-Mails und Ihres Passworts ändern
txtMp;Si e-mail et mot de passe existent dans la base ˆ l'identique, les autres champs sont remplis automatiquement;Se l’e-mail e la password esistono nella base dell’identità, gli altri campi sono riempiti automaticamente;Sind die eingangs angegebene E-Mail-Adresse und das Passwort identisch, werden die übrigen Felder automatisch ausgefüllt.
cgvNonAccept;Les conditions générales de vente n'ont pas été acceptées;Le condizioni generali di vendita non sono state accettate;Die Allgemeinen Verkaufsbedingungen wurden nicht angenommen
;;;
badMp;Cette adresse mail est bien enregistrée mais le mot de passe ne correspond pas;Questo indirizzo e-mail è ben registrato, ma la password non corrisponde;Diese Mail-Adresse ist zwar registriert, das Passwort entspricht jedoch nicht
findEmail;Adresse mail non trouvée;Indirizzo e-mail non trovato;Mailadresse nicht gefunden
noEmail;Vous n'avez pas indiqué votre e-mail;Non avete indicato la vostra e-mail;Sie haben Ihr E-Mail nicht angegeben
noEnreg;n'est pas enregistré dans la base;Non è registrato nella base;ist in der Datenbank nicht registriert
emailEnvoye;Votre mot de passe vient d'être envoyé à l'adresse;La vostra password è stata mandata all’indirizzo;Ihr Passwort wurde soeben an die Adresse versandt
noNom;Le nom n'a pas été indiqué;Non è indicato il nome;Der Name wurde nicht angegeben
noSov;L'enregistrement n'a pas fonctionné. Merci de le signaler;La registrazione non ha funzionato. Grazie di segnalarlo;Die Registrierung hat nicht funktioniert. Bitte melden
; --- CHOIX PAIEMENT ---;;
choixpaiement;Choisissez votre mode de paiement;Scegliete il vostro modo di pagamento;Wählen Sie Ihre Zahlungsart
parCarte;par carte bancaire;Carta di credito;mittels Bankkarte
parCH;par chèque;Assegno;mittels Scheck
paieSecur1;Paiement<br>sécurisé par;Pagamento garantito da;Zahlung geschützt durch
paieSecur2;Votre paiement est entièrement sécurisé par PAYBOX SYSTEM, les données bancaires ne transitent pas à l'intérieur du site;Il vostro pagamento è totalmente garantito da PAYBOXSYSTEM, i dati bancari non transitano all’interno del sito;Ihre Zahlung ist vollumfänglich durch PAYBOX SYSTEM geschützt. Die Bankdaten werden innerhalb der Webseite nicht weitergeleitet
notePrepar;<b>A noter</b> : votre commande ne sera préparée qu'après réception de votre paiement;<b>Da notare</b> : la vostra ordinazione sarà preparata solo dopo aver ricevuto il pagamento;<b>Zur Beachtung</b>: Ihre Bestellung wird erst nach Eingang Ihrer Zahlung bearbeitet
etablirCH;Etablir le chèque à l'ordre de;Stabilire l’assegno all’ordine di;Scheck erstellen an die Order von
adCH;Adresser votre chèque à;Indirizzare il vostro assegno a;Ihr Scheck adressieren an
cgv;Conditions générales de vente;Condizioni generali di vendita;Allgemeine Verkaufsbedingungen
cgvAccept;J'accepte les;Accetto le;Ich nehme die
txtDsl;Nous sommes désolé, la commande n'a pas été enregistrée. Merci de revenir en arrière;Siamo spiacenti, l’ordinazione non è stata registrata. Grazie di ripetere;Leider wurde Ihre Bestellung nicht registriert. Bitte gehen Sie einen Schritt zurück
noChoixPaiement;Aucun moyen de paiement n'a été choisi;Nessun mezzo di pagamento è stato scelto;Es wurde keine Zahlungsart gewählt
